INFO:root:Find max matching for different graphs.
INFO:root:
INFO:root:        dwt_72.mtx: iter     0, Optimal    32, Current    29
INFO:root:        dwt_72.mtx: Optimal    32, Current Best    31
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:      bcspwr10.mtx: iter  8000, Optimal  2576, Current  2519
INFO:root:      bcspwr10.mtx: iter  8100, Optimal  2576, Current  2520
INFO:root:      bcspwr10.mtx: iter  8200, Optimal  2576, Current  2520
INFO:root:      bcspwr10.mtx: iter  8300, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  8400, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  8500, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  8600, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  8700, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  8800, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  8900, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  9000, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  9100, Optimal  2576, Current  2521
INFO:root:      bcspwr10.mtx: iter  9200, Optimal  2576, Current  2522
INFO:root:      bcspwr10.mtx: iter  9300, Optimal  2576, Current  2522
INFO:root:      bcspwr10.mtx: iter  9400, Optimal  2576, Current  2522
INFO:root:      bcspwr10.mtx: iter  9500, Optimal  2576, Current  2522
INFO:root:      bcspwr10.mtx: iter  9600, Optimal  2576, Current  2522
INFO:root:      bcspwr10.mtx: iter  9700, Optimal  2576, Current  2524
INFO:root:      bcspwr10.mtx: iter  9800, Optimal  2576, Current  2524
INFO:root:      bcspwr10.mtx: iter  9900, Optimal  2576, Current  2525
INFO:root:      bcspwr10.mtx: iter 10000, Optimal  2576, Current  2525
INFO:root:      bcspwr10.mtx: iter 10100, Optimal  2576, Current  2525
INFO:root:      bcspwr10.mtx: iter 10200, Optimal  2576, Current  2526
INFO:root:      bcspwr10.mtx: iter 10300, Optimal  2576, Current  2526
INFO:root:      bcspwr10.mtx: iter 10400, Optimal  2576, Current  2526
INFO:root:      bcspwr10.mtx: iter 10500, Optimal  2576, Current  2526
INFO:root:      bcspwr10.mtx: iter 10600, Optimal  2576, Current  2526
INFO:root:      bcspwr10.mtx: iter 10700, Optimal  2576, Current  2526
INFO:root:      bcspwr10.mtx: iter 10800, Optimal  2576, Current  2527
INFO:root:      bcspwr10.mtx: iter 10900, Optimal  2576, Current  2527
INFO:root:      bcspwr10.mtx: iter 11000, Optimal  2576, Current  2527
INFO:root:      bcspwr10.mtx: iter 11100, Optimal  2576, Current  2527
INFO:root:      bcspwr10.mtx: iter 11200, Optimal  2576, Current  2527
INFO:root:      bcspwr10.mtx: iter 11300, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 11400, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 11500, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 11600, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 11700, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 11800, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 11900, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12000, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12100, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12200, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12300, Optimal  2576, Current  2528
